benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
geomlama,figure9_1b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.4333333333,0.2416666667,0.1916666667,1,1,120,120,0,0.008333333333,0.4166666667,0.3666666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_1b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_1b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_1b/seed_41/geomlama
geomlama,figure9_3b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.475,0.3583333333,0.1166666667,1,1,120,120,0,0,0.4166666667,0.3583333333,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/maple_1b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/maple_1b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/maple_1b/seed_41/geomlama
geomlama,letter_country_first,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3416666667,0.3916666667,-0.05,0,1,120,120,0,0,0.475,0.9833333333,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/maple_1b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/maple_1b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/maple_1b/seed_41/geomlama
geomlama,letter_legacy,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3166666667,0.3833333333,-0.06666666667,0,1,120,120,0,0.008333333333,0.4333333333,0.75,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_1b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_1b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_1b/seed_41/geomlama
geomlama,figure9_1b,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2666666667,0.3833333333,-0.1166666667,0,1,120,120,0,0,0.3583333333,0.4166666667,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_3b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_3b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_3b/seed_41/geomlama
geomlama,figure9_3b,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3166666667,0.4416666667,-0.125,0,1,120,120,0,0,0.375,0.3333333333,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/maple_3b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/maple_3b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/maple_3b/seed_41/geomlama
geomlama,letter_country_first,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3833333333,0.4083333333,-0.025,0,1,120,120,0,0,0.9333333333,0.5583333333,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/maple_3b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/maple_3b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/maple_3b/seed_41/geomlama
geomlama,letter_legacy,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3916666667,0.3416666667,0.05,1,1,120,120,0.01666666667,0.008333333333,0.7833333333,0.6083333333,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_3b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_3b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_3b/seed_41/geomlama
geomlama,figure9_1b,llama32_1b,seed_41,I+ vs I-,accuracy,higher_is_better,llama3_chat_with_metadata,llama3_chat_without_metadata,0.2583333333,0.2833333333,-0.025,0,1,120,120,0.008333333333,0,0.3416666667,0.3666666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_with_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_without_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/llama32_1b/seed_41/geomlama
geomlama,figure9_3b,llama32_1b,seed_41,I+ vs I-,accuracy,higher_is_better,llama3_chat_with_metadata,llama3_chat_without_metadata,0.2583333333,0.2833333333,-0.025,0,1,120,120,0,0,0.3416666667,0.3166666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_with_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_without_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_3b/llama32_1b/seed_41/geomlama
geomlama,letter_country_first,llama32_1b,seed_41,I+ vs I-,accuracy,higher_is_better,llama3_chat_with_metadata,llama3_chat_without_metadata,0.3,0.3916666667,-0.09166666667,0,1,120,120,0,0,0.35,1,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_with_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_without_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_country_first/llama32_1b/seed_41/geomlama
geomlama,letter_legacy,llama32_1b,seed_41,I+ vs I-,accuracy,higher_is_better,llama3_chat_with_metadata,llama3_chat_without_metadata,0.3,0.3916666667,-0.09166666667,0,1,120,120,0,0,0.35,1,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_with_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/llama32_1b/seed_41/geomlama/geomlama_llama3_chat_without_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/llama32_1b/seed_41/geomlama
globalopinionqa,figure9_1b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.125,0.15,-0.025,0,1,120,120,0,0,0.2833333333,0.3166666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_1b/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_1b/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_1b/maple_1b/seed_41/globalopinionqa
globalopinionqa,figure9_3b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.15,0.2083333333,-0.05833333333,0,1,120,120,0,0,0.3166666667,0.4333333333,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_3b/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_3b/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_3b/maple_1b/seed_41/globalopinionqa
globalopinionqa,letter_country_first,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3333333333,0.3083333333,0.025,1,1,120,120,0,0,0.6583333333,1,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_country_first/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_country_first/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_country_first/maple_1b/seed_41/globalopinionqa
globalopinionqa,letter_legacy,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3083333333,0.3166666667,-0.008333333333,0,1,120,120,0,0,0.45,0.6583333333,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_legacy/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_legacy/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_legacy/maple_1b/seed_41/globalopinionqa
globalopinionqa,figure9_1b,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.15,0.2333333333,-0.08333333333,0,1,120,120,0,0,0.3083333333,0.3416666667,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_1b/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_1b/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_1b/maple_3b/seed_41/globalopinionqa
globalopinionqa,figure9_3b,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1583333333,0.275,-0.1166666667,0,1,120,120,0,0,0.2583333333,0.4166666667,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_3b/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_3b/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/figure9_3b/maple_3b/seed_41/globalopinionqa
globalopinionqa,letter_country_first,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.35,0.3083333333,0.04166666667,1,1,120,120,0,0,0.925,0.675,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_country_first/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_country_first/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_country_first/maple_3b/seed_41/globalopinionqa
globalopinionqa,letter_legacy,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.325,0.25,0.075,1,1,120,120,0.008333333333,0.008333333333,0.4666666667,0.4166666667,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_legacy/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_legacy/maple_3b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalopinionqa/letter_legacy/maple_3b/seed_41/globalopinionqa
