row_key,track,label,short_label,group,plus_condition,minus_condition,external_geomlama_plus,external_geomlama_minus,external_geomlama_delta,external_globalopinionqa_plus,external_globalopinionqa_minus,external_globalopinionqa_delta,external_globalmmlu_cs_plus,external_globalmmlu_cs_minus,external_globalmmlu_cs_delta,external_normad_plus,external_normad_minus,external_normad_delta,external_blend_plus,external_blend_minus,external_blend_delta,external_worldvaluebench_plus,external_worldvaluebench_minus,external_worldvaluebench_delta,local_gain,local_ci_low,local_ci_high,local_plus_value,local_minus_value,local_n,external_blend_plus_score,external_blend_minus_score,external_geomlama_plus_score,external_geomlama_minus_score,external_globalmmlu_cs_plus_score,external_globalmmlu_cs_minus_score,external_globalopinionqa_plus_score,external_globalopinionqa_minus_score,external_normad_plus_score,external_normad_minus_score,external_worldvaluebench_plus_score,external_worldvaluebench_minus_score,external_downstream_index_plus,external_downstream_index_minus,external_downstream_index_delta,external_metric_count,plot_label,pareto_localnewsqa_ambiguous
gemma4_e2b,base,Gemma-4-E2B Base,Gemma 4 E2B base,Gemma-4 family,metadata,no metadata,33.33333333333333,30.666666666666664,2.666666666666667,16.948462008555715,16.69382766347525,0.2546343450804644,31.818181818181817,31.565656565656564,0.2525252525252525,39.99240410178504,33.87770603873908,6.114698063045955,22.646310432569976,22.900763358778622,-0.2544529262086514,0.3547858558146624,0.3537570492303002,-0.0010288065843621,2.443780851971479,1.870924492656469,3.0349198610518617,36.39466146626852,33.95088061429703,16409,32.758620689655174,33.6206896551724,39.53488372093021,30.23255813953487,29.761904761904756,28.571428571428566,9.892729439809314,8.402860548271766,27.392739273927408,9.680968096809677,51.92215049619424,52.442431833509985,31.877171397070185,27.15848947412121,4.718681922948974,6,Gemma 4 E2B base,False
gemma4_e2b,chat,Gemma-4-E2B-it,Gemma 4 E2B chat,Gemma-4 family,metadata,no metadata,39.33333333333333,37.333333333333336,2.0,16.785496027704216,16.83642289672031,-0.0509268690160929,34.5959595959596,34.090909090909086,0.5050505050505051,45.3475123433346,44.24610710216484,1.1014052411697683,21.882951653944023,22.391857506361323,-0.5089058524173028,0.3227594878829447,0.3518518518518518,0.0290923639689071,3.4919861051861782,3.0592967274056924,3.918581266378207,42.15979035894936,38.66780425376318,16409,30.172413793103452,31.89655172413793,60.46511627906974,53.48837209302325,42.85714285714287,40.47619047619045,8.939213349225273,9.237187127532795,42.90429042904291,39.713971397139744,68.11831583004142,53.40591579150209,42.24274875627094,38.03636476825438,4.206383988016562,6,Gemma 4 E2B chat,False
gemma4_e4b,base,Gemma-4-E4B Base,Gemma 4 E4B base,Gemma-4 family,metadata,no metadata,44.0,38.66666666666666,5.333333333333334,18.2012629863516,18.7512731717254,-0.5500101853738032,46.71717171717172,43.81313131313132,2.904040404040404,65.05886821116597,63.34979111279909,1.709077098366882,35.87786259541985,30.788804071246812,5.089058524173027,0.3501181222374638,0.3541571406797744,0.0040390184423105,1.1274300688646477,0.5727040039002986,1.7065330001828256,37.14425010664879,36.01682003778414,16409,77.58620689655172,60.34482758620686,76.74418604651162,58.13953488372089,100.0,86.30952380952382,17.222884386174037,20.441001191895115,100.0,95.04950495049505,54.28268619327488,52.24010020233164,70.97266058708537,62.08741543736223,8.88524514972314,6,Gemma 4 E4B base,True
gemma4_e4b,chat,Gemma-4-E4B-it,Gemma 4 E4B chat,Gemma-4 family,metadata,no metadata,45.33333333333333,44.0,1.3333333333333337,17.0503157465879,18.0382970055001,-0.987981258912202,40.53030303030303,37.87878787878788,2.6515151515151514,54.19673376376757,51.69008735282947,2.5066464109380937,24.681933842239182,26.208651399491096,-1.5267175572519085,0.31997789971041,0.3108901082152111,-0.0090877914951988,7.221646657322202,6.7339569748308845,7.733713206167346,48.040709366810894,40.8190627094887,16409,39.65517241379309,44.827586206896555,81.39534883720927,76.74418604651162,70.83333333333333,58.333333333333336,10.488676996424315,16.269368295589995,68.53685368536856,61.27612761276128,69.52500240870988,74.12082088833219,56.73906461247307,55.26190373057083,1.4771608819022433,6,Gemma 4 E4B chat,False
llama32_1b,base,LLaMA-3.2-1B Base,LLaMA 1B base,LLaMA family,metadata,no metadata,22.0,24.666666666666668,-2.666666666666667,17.885516398451824,18.007740884090445,-0.1222244856386229,29.166666666666668,27.146464646464647,2.0202020202020203,36.49829092290163,35.09304975313331,1.4052411697683251,15.267175572519085,15.267175572519085,0.0,0.4304602956866331,0.4473975003810395,0.0169372046944063,2.084222073252483,1.5357425802913036,2.608324699859833,41.92211591199951,39.83789383874703,16409,7.75862068965518,7.75862068965518,0.0,9.302325581395351,17.261904761904777,7.738095238095253,15.375446960667471,16.090584028605488,17.27172717271727,13.201320132013203,13.652567684748057,5.087195298198257,11.886711211615458,9.863023494660455,2.0236877169550027,6,LLaMA 1B base,False
llama32_1b,chat,LLaMA-3.2-1B Inst.,LLaMA 1B chat,LLaMA family,metadata,no metadata,31.333333333333336,26.0,5.333333333333334,16.32715420655938,16.57160317783663,-0.2444489712772458,28.28282828282828,29.29292929292929,-1.0101010101010102,30.95328522597797,30.95328522597797,0.0,16.539440203562343,17.8117048346056,-1.2722646310432568,0.403139765279683,0.4339849108367627,0.0308451455570797,1.6759095618258273,1.2249375342799682,2.1756353220793465,41.97086964470717,40.29496008288135,16409,12.06896551724139,16.379310344827594,32.55813953488372,13.95348837209302,13.095238095238093,17.857142857142854,6.257449344457699,7.687723480333751,1.2101210121012147,1.2101210121012147,27.468927642354735,11.870122362462627,15.44314019104614,11.492984738160176,3.950155452885964,6,LLaMA 1B chat,False
llama32_3b,base,LLaMA-3.2-3B Base,LLaMA 3B base,LLaMA family,metadata,no metadata,26.0,31.333333333333336,-5.333333333333334,17.926257893664697,17.529028315339172,0.3972295783255245,31.565656565656564,30.80808080808081,0.7575757575757576,32.510444360045575,30.6114698063046,1.89897455374098,16.793893129770993,15.267175572519085,1.5267175572519085,0.457456942539247,0.4318510897729005,-0.0256058527663465,5.003351819123652,4.467060759339387,5.5335486623194585,46.84624291547322,41.84289109634957,16409,12.931034482758625,7.75862068965518,13.95348837209302,32.55813953488372,28.571428571428566,25.00000000000001,15.613825983313475,13.289630512514899,5.720572057205725,0.22002200220024234,0.0,12.949224395413786,12.798391577799903,15.295939522444641,-2.4975479446447384,6,LLaMA 3B base,False
llama32_3b,chat,LLaMA-3.2-3B Inst.,LLaMA 3B chat,LLaMA family,metadata,no metadata,30.666666666666664,35.333333333333336,-4.666666666666667,15.257689957221428,16.215115094723977,-0.9574251375025464,34.72222222222222,37.62626262626262,-2.904040404040404,46.296999620205085,46.82871249525256,-0.5317128750474744,20.10178117048346,29.262086513994912,-9.16030534351145,0.3644642584971803,0.2689948178631306,-0.0954694406340497,-0.0182826497653726,-0.5972332256688403,0.5484794929611798,44.4938753123286,44.51215796209397,16409,24.137931034482754,55.172413793103445,30.23255813953487,46.51162790697674,43.45238095238094,57.14285714285712,0.0,5.601907032181181,45.65456545654564,47.19471947194718,47.027651989594375,95.30783312457848,31.75084792875643,51.15522641194068,-19.404378483184253,6,LLaMA 3B chat,False
maple_1b,base,MAPLE 1B Base,MAPLE 1B base,MAPLE family,T+/I+,T-/I-,28.666666666666668,26.0,2.666666666666667,26.30882053371359,25.03564880831127,1.2731717254023225,28.28282828282828,28.156565656565657,0.1262626262626262,34.67527535131029,33.23205469046715,1.4432206608431448,29.77099236641221,20.35623409669211,9.4147582697201,0.2597165066300869,0.2867703094040543,0.0270538027739674,4.369553293924066,3.747790846486685,4.954750441830703,38.96032665000914,34.59077335608507,16409,56.896551724137915,24.999999999999993,23.25581395348837,13.95348837209302,13.095238095238093,12.500000000000014,64.66030989272944,57.210965435041736,11.99119911991199,7.810781078107827,100.0,86.31852779651217,44.983185464250965,33.79896044695912,11.184225017291844,6,MAPLE 1B base,False
maple_1b,chat,MAPLE 1B Chat,MAPLE 1B chat,MAPLE family,T+/I+,T-/I-,40.0,36.0,4.0,32.348747199022206,29.629252393562844,2.7194948054593606,26.04352479486265,25.786657153050303,0.2568676418123439,37.14394227117357,33.34599316369161,3.79794910748196,16.539440203562343,15.521628498727736,1.0178117048346056,0.4321178174058833,0.4462543819539704,0.0141365645480871,4.393930160277897,3.58324699859833,5.210555183131208,36.10213907002255,31.70820890974465,16409,12.06896551724139,8.620689655172422,62.790697674418595,48.837209302325576,2.538521651971547,1.3275741977133488,100.0,84.08820023837902,19.14191419141916,8.140814081408154,12.814336641294883,5.665285672993545,34.8924059460576,26.113295524665347,8.779110421392254,6,MAPLE 1B chat,False
maple_3b,base,MAPLE 3B Base,MAPLE 3B base,MAPLE family,T+/I+,T-/I-,42.66666666666667,37.333333333333336,5.333333333333334,27.67366062334488,19.22998574047668,8.443674882868201,29.41919191919192,25.5050505050505,3.9141414141414144,37.48575769084695,32.43448537789594,5.051272312951006,42.49363867684479,29.00763358778626,13.486005089058525,0.2699474165523548,0.2748056698673983,0.0048582533150434,7.910293131817905,6.953501127430068,8.860990919617283,39.64897312450484,31.73867999268694,16409,100.0,54.3103448275862,72.09302325581396,53.48837209302325,18.452380952380967,0.0,72.6460071513707,23.24195470798572,20.132013201320163,5.5005500550055135,94.82609114558242,92.36920705270256,63.02491928441137,38.151738122717205,24.873181161694163,6,MAPLE 3B base,True
maple_3b,chat,MAPLE 3B Chat,MAPLE 3B chat,MAPLE family,T+/I+,T-/I-,35.333333333333336,30.666666666666664,4.666666666666667,27.734772866164185,24.312487268282744,3.422285597881442,26.528719229397076,25.850874063503387,0.6778451658936854,32.966198252943414,30.535510824154954,2.4306874287884543,32.82442748091603,26.7175572519084,6.106870229007633,0.2698521566834324,0.2913427831123305,0.021490626428898,8.842708269851911,7.94685843134865,9.775123407885916,41.97086964470717,33.12816137485527,16409,67.24137931034481,46.55172413793104,46.51162790697674,30.23255813953487,4.825866843348135,1.6303110612778857,73.00357568533967,52.97973778307509,7.040704070407056,0.0,94.87426534348205,84.00616629733113,48.91623652664975,35.90008290319167,13.01615362345808,6,MAPLE 3B chat,False
ministral3_3b,base,Ministral-3-3B Base,Ministral 3B base,Ministral family,metadata,no metadata,31.333333333333336,34.66666666666667,-3.333333333333333,18.313302098187005,18.649419433693215,-0.336117335506213,39.64646464646464,39.64646464646464,0.0,49.14546145081656,51.196353968856826,-2.0508925180402584,27.480916030534356,27.989821882951656,-0.5089058524173028,0.3627876848041457,0.3263793629019966,-0.036408321902149,5.003351819123652,4.48534340910476,5.4908891462002565,45.16423913705893,40.16088731793528,16409,49.13793103448277,50.86206896551724,32.55813953488372,44.18604651162792,66.66666666666664,66.66666666666664,17.878426698450557,19.84505363528009,53.90539053905391,59.845984598459864,47.87551787262741,66.28769630985646,44.6703453910275,51.28225278123471,-6.611907390207207,6,Ministral 3B base,False
ministral3_3b,chat,Ministral-3-3B Inst.,Ministral 3B chat,Ministral family,metadata,no metadata,22.0,34.66666666666667,-12.666666666666668,17.783662660419637,17.712365043797107,0.07129761662253,36.994949494949495,39.64646464646464,-2.6515151515151514,40.182301557159136,44.36004557538929,-4.177744018230156,19.84732824427481,20.610687022900763,-0.7633587786259541,0.31517680231672,0.3000304831580552,-0.0151463191586648,5.789505759034676,5.320251081723444,6.270948869522823,46.468401486988846,40.67889572795417,16409,23.27586206896552,25.86206896551724,0.0,44.18604651162792,54.166666666666664,66.66666666666664,14.779499404052448,14.362336114421934,27.94279427942795,40.04400440044005,71.95298198284999,79.61267944888716,32.01963406699376,45.12230035126016,-13.102666284266398,6,Ministral 3B chat,False
qwen25_1p5b,base,Qwen2.5-1.5B Base,Qwen2.5 1.5B base,Qwen2.5 family,metadata,no metadata,25.333333333333336,36.0,-10.666666666666668,18.160521491138727,20.258708494601752,-2.098187003463027,31.186868686868685,30.429292929292927,0.7575757575757576,36.23243448537789,31.257121154576527,4.975313330801368,15.267175572519085,16.030534351145036,-0.7633587786259541,0.432346441091297,0.4385192805974698,0.0061728395061728,2.6936437320982387,2.2243890547870078,3.150709976232555,40.12432201840453,37.430678286306296,16409,7.75862068965518,10.344827586206893,11.627906976744192,48.837209302325576,26.785714285714278,23.214285714285708,16.98450536352803,29.261025029797384,16.50165016501648,2.0902090209020914,12.698718566335879,9.577030542441491,15.392852674499006,20.55409786599319,-5.161245191494183,6,Qwen2.5 1.5B base,False
qwen25_1p5b,chat,Qwen2.5-1.5B Inst.,Qwen2.5 1.5B chat,Qwen2.5 family,metadata,no metadata,40.0,48.66666666666667,-8.666666666666668,16.999388877571807,17.82440415563251,-0.8250152780607047,35.858585858585855,36.11111111111111,-0.2525252525252525,45.9172047094569,48.61374857576909,-2.6965438663121915,22.391857506361323,23.918575063613236,-1.5267175572519085,0.4354328608443835,0.413256363359244,-0.0221764974851394,8.470961057956,7.861387043695532,9.04396977268572,50.80748369797063,42.33652264001463,16409,31.89655172413793,37.068965517241395,62.790697674418595,93.02325581395348,48.80952380952379,49.99999999999997,10.190703218116814,15.017878426698452,44.55445544554457,52.36523652365237,11.137874554388642,22.352827825416703,34.89663440435506,44.971360684493725,-10.074726280138663,6,Qwen2.5 1.5B chat,False
qwen25_3b,base,Qwen2.5-3B Base,Qwen2.5 3B base,Qwen2.5 family,metadata,no metadata,40.66666666666666,40.66666666666666,0.0,18.41515583621919,18.853126909757588,-0.4379710735383988,37.121212121212125,37.37373737373738,-0.2525252525252525,59.39992404101785,49.82909229016331,9.57083175085454,26.7175572519084,28.49872773536896,-1.7811704834605595,0.4198864502362445,0.3975956409083981,-0.0222908093278463,8.056554329940885,7.434639527088793,8.629563044670608,53.06843805228838,45.01188372234749,16409,46.55172413793104,52.58620689655172,65.1162790697674,65.1162790697674,54.761904761904766,55.95238095238096,18.474374255065555,21.036948748510138,83.60836083608359,55.88558855885588,18.99990365160417,30.27266596011175,47.918757785392756,46.80834503102964,1.110412754363118,6,Qwen2.5 3B base,False
qwen25_3b,chat,Qwen2.5-3B Inst.,Qwen2.5 3B chat,Qwen2.5 family,metadata,no metadata,45.33333333333333,48.0,-2.666666666666667,16.744754532491342,16.98920350376859,-0.2444489712772458,40.025252525252526,40.025252525252526,0.0,52.79149259399925,52.86745157614888,-0.0759589821496392,24.42748091603053,23.15521628498728,1.2722646310432568,0.3658169486358786,0.3750190519737844,0.0092021033379057,8.410018892071424,7.867633615698702,8.99506368456335,49.74099579499055,41.33097690291913,16409,38.793103448275836,34.48275862068966,81.39534883720927,90.69767441860463,68.45238095238095,68.45238095238095,8.700834326579267,10.131108462455318,64.4664466446645,64.6864686468647,46.34357837942001,41.689950862318184,51.35861543142164,51.69005699388558,-0.33144156246393663,6,Qwen2.5 3B chat,False
qwen35_0p8b,base,Qwen3.5-0.8B Base,Qwen3.5 0.8B base,Qwen3.5 family,metadata,no metadata,35.333333333333336,36.66666666666666,-1.3333333333333337,17.814218781829293,17.83458952943573,-0.0203707476064371,33.33333333333333,32.57575757575758,0.7575757575757576,34.97911127990885,35.4728446638815,-0.4937333839726547,20.610687022900763,21.37404580152672,-0.7633587786259541,0.4218297515622619,0.4230871818320378,0.0012574302697759,3.894204400024377,3.4368334450606377,4.363459077335609,42.18416722530319,38.28996282527881,16409,25.86206896551724,28.44827586206897,46.51162790697674,51.162790697674374,36.90476190476188,33.33333333333334,14.958283671036957,15.077473182359949,12.871287128712877,14.3014301430143,18.017150014452223,17.38125060217745,25.85419659857632,26.6174256367714,-0.7632290381950817,6,Qwen3.5 0.8B base,False
qwen35_0p8b,chat,Qwen3.5-0.8B Chat,Qwen3.5 0.8B chat,Qwen3.5 family,metadata,no metadata,37.333333333333336,40.0,-2.666666666666667,17.610511305764923,17.83458952943573,-0.2240782236708087,33.08080808080808,32.07070707070707,1.0101010101010102,43.82833270034182,45.95518420053171,-2.1268515001898978,19.338422391857502,21.37404580152672,-2.035623409669211,0.4087410455723213,0.4486358786770309,0.0398948331047095,3.504174538363093,3.06539094399415,3.9795234322627824,41.54427448351514,38.04009994515205,16409,21.55172413793102,28.44827586206897,53.48837209302325,62.790697674418595,35.71428571428573,30.952380952380963,13.766388557806932,15.077473182359949,38.50385038503851,44.66446644664466,24.636284805857947,4.460930725503406,31.276817615657233,31.065704140562758,0.21111347509447498,6,Qwen3.5 0.8B chat,False
qwen35_2b,base,Qwen3.5-2B Base,Qwen3.5 2B base,Qwen3.5 family,metadata,no metadata,47.333333333333336,50.66666666666667,-3.333333333333333,18.63923405989,18.41515583621919,0.2240782236708087,38.005050505050505,37.37373737373738,0.6313131313131313,54.04481579946828,56.55146221040638,-2.5066464109380937,27.2264631043257,26.208651399491096,1.0178117048346056,0.3769623532998018,0.3867360158512422,0.0097736625514403,9.049911633859468,8.51971479066366,9.56792004387836,51.59973185447011,42.54982022061064,16409,48.27586206896551,44.827586206896555,88.3720930232558,100.0,58.928571428571416,55.95238095238096,19.785458879618616,18.474374255065555,68.09680968096808,75.35753575357535,40.70719722516621,35.764524520666725,54.027665384424274,55.0627336147642,-1.035068230339924,6,Qwen3.5 2B base,True
qwen35_2b,chat,Qwen3.5-2B Chat,Qwen3.5 2B chat,Qwen3.5 family,metadata,no metadata,46.0,44.66666666666666,1.3333333333333337,20.28926461601141,20.27907924220819,0.0101853738032185,37.24747474747475,36.48989898989899,0.7575757575757576,59.817698442840864,63.80554500569693,-3.987846562856058,25.699745547073796,25.44529262086514,0.2544529262086514,0.3903939948178631,0.3801059289742416,-0.0102880658436214,8.507526357486746,7.946706075933938,9.049911633859468,49.76537266134438,41.25784630385764,16409,43.103448275862085,42.241379310344826,83.72093023255812,79.06976744186042,55.35714285714285,51.78571428571428,29.439809296781895,29.3802145411204,84.81848184818482,96.36963696369638,33.91463532132191,39.117448694479286,55.05907463864195,56.3273602062026,-1.2682855675606461,6,Qwen3.5 2B chat,True
qwen35_4b,base,Qwen3.5-4B Base,Qwen3.5 4B base,Qwen3.5 family,metadata,no metadata,33.33333333333333,31.333333333333336,2.0,18.017926257893667,18.252189855367693,-0.2342635974740272,33.207070707070706,32.70202020202021,0.5050505050505051,36.23243448537789,35.81466008355488,0.4177744018230155,13.486005089058525,12.97709923664122,0.5089058524173028,0.432346441091297,0.432346441091297,0.0,1.5601194466451338,1.285879700164544,1.8526418428910965,38.46060088975562,36.900481443110486,16409,1.7241379310344904,0.0,39.53488372093021,32.55813953488372,36.3095238095238,33.92857142857146,16.150178784267002,17.520858164481538,16.50165016501648,15.291529152915285,12.698718566335879,12.698718566335879,20.48651549618464,18.66630280786465,1.820212688319991,6,Qwen3.5 4B base,False
qwen35_4b,chat,Qwen3.5-4B Chat,Qwen3.5 4B chat,Qwen3.5 family,metadata,no metadata,26.0,29.33333333333333,-3.333333333333333,17.11142798940721,17.284579344061925,-0.1731513546547158,32.70202020202021,33.08080808080808,-0.3787878787878788,30.95328522597797,30.95328522597797,0.0,14.50381679389313,16.030534351145036,-1.5267175572519085,0.432346441091297,0.432346441091297,0.0,1.0421110366262416,0.7250594186117374,1.3468218660491194,36.760314461575966,35.71820342494972,16409,5.172413793103452,10.344827586206893,13.95348837209302,25.581395348837187,33.92857142857146,35.71428571428573,10.846245530393334,11.85935637663885,1.2101210121012147,1.2101210121012147,12.698718566335879,12.698718566335879,12.968259783766394,16.23478410073429,-3.2665243169678977,6,Qwen3.5 4B chat,False
