family,series,split,accuracy,ci_low,ci_high,seed,total,source
1B,1B T+/I+,Overall,0.34526397948374865,0.3403850978424486,0.35022579026593076,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tplus_eplus_seed41_c0.jsonl
1B,1B T+/I+,Explicit,0.30788594913948114,0.30151554071410225,0.314410480349345,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tplus_eplus_seed41_c0.jsonl
1B,1B T+/I+,Ambiguous,0.3896032665000914,0.3821683222621732,0.39703821073800966,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tplus_eplus_seed41_c0.jsonl
1B,1B T+/I-,Overall,0.33266432513798294,0.3278690695211016,0.3375146345542733,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tplus_eminus_seed41_c0.jsonl
1B,1B T+/I-,Explicit,0.30490624197277166,0.2983290521448754,0.31132802465964554,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tplus_eminus_seed41_c0.jsonl
1B,1B T+/I-,Ambiguous,0.3655920531415687,0.358218051069535,0.373028520933634,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tplus_eminus_seed41_c0.jsonl
1B,1B T-/I+,Overall,0.3284272732340971,0.32363271450075265,0.3331939566259687,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tminus_eplus_seed41_c0.jsonl
1B,1B T-/I+,Explicit,0.30182378628307216,0.2955561263806833,0.30819419470845105,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tminus_eplus_seed41_c0.jsonl
1B,1B T-/I+,Ambiguous,0.3599853738801877,0.35267231397403864,0.36754220244987507,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tminus_eplus_seed41_c0.jsonl
1B,1B T-/I-,Overall,0.32235044879299773,0.3174994424931705,0.327228633550761,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tminus_eminus_seed41_c0.jsonl
1B,1B T-/I-,Explicit,0.3024916516825071,0.29596712047264323,0.30886206010788597,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tminus_eminus_seed41_c0.jsonl
1B,1B T-/I-,Ambiguous,0.34590773356085075,0.3387775001523554,0.35315985130111527,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tminus_eminus_seed41_c0.jsonl
3B,3B T+/I+,Overall,0.36201705970898146,0.3569430506773708,0.3668673691252718,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tplus_eplus_seed41_c0.jsonl
3B,3B T+/I+,Explicit,0.3329565887490367,0.3262766503981505,0.3394824043154379,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tplus_eplus_seed41_c0.jsonl
3B,3B T+/I+,Ambiguous,0.39648973124504844,0.38905326345298313,0.40398714120299833,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tplus_eplus_seed41_c0.jsonl
3B,3B T+/I-,Overall,0.32708925684339635,0.32223894742710596,0.3318559402352679,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_3b_tplus_eminus_seed41_c0.jsonl
3B,3B T+/I-,Explicit,0.3171333162085795,0.31060878499871564,0.32365784741844333,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_3b_tplus_eminus_seed41_c0.jsonl
3B,3B T+/I-,Ambiguous,0.33889938448412454,0.3316472667438601,0.3462733865561582,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_3b_tplus_eminus_seed41_c0.jsonl
3B,3B T-/I+,Overall,0.3404136700674583,0.33547903774321236,0.3452918548252216,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tminus_eplus_seed41_c0.jsonl
3B,3B T-/I+,Explicit,0.3184176727459543,0.31215001284356536,0.3248921140508605,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tminus_eplus_seed41_c0.jsonl
3B,3B T-/I+,Ambiguous,0.3665061856298373,0.3590712413919191,0.37400207203364005,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tminus_eplus_seed41_c0.jsonl
3B,3B T-/I-,Overall,0.3122038244968501,0.30754864247087027,0.3168875787478397,41,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_3b_tminus_eminus_seed41_c0.jsonl
3B,3B T-/I-,Explicit,0.30783457487798616,0.30125738505008987,0.31425635756486,41,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_3b_tminus_eminus_seed41_c0.jsonl
3B,3B T-/I-,Ambiguous,0.3173867999268694,0.31001279785483576,0.3246389176671339,41,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_figure9_frozen_full_multiseed/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_3b_tminus_eminus_seed41_c0.jsonl
