plot,size,train_continent,test_continent,test_path_a,test_path_b,model_a,model_b,n_samples_a,n_samples_b,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot5,500m,africa,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.2545993372379747,2.2545993372379747,9.5314736384436,9.5314736384436,0.0,-0.06219374472960998,0.060291272253326235,0.0,-0.5896832736159732,0.5753463874442893,0.995,ok
plot5,500m,africa,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,3.0719537821354175,2.7705517618932043,21.58403200197338,15.967441805587814,0.3014020202422132,0.26296134567095253,0.34086517369729025,5.616590196385566,4.880680659863035,6.366221980778048,0.0,ok
plot5,500m,africa,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.9940563558423254,2.7398780866011583,19.966509717084524,15.485097140434927,0.25417826924116715,0.21261136269551018,0.2947035857166042,4.481412576649596,3.741502488773417,5.2093091990805505,0.0,ok
plot5,500m,africa,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,3.0814224837472852,2.822554327814998,21.78937539404286,16.819759026130885,0.2588681559322872,0.21448165236977584,0.3020023011467223,4.969616367911975,4.126601356051512,5.817924927008891,0.0,ok
plot5,500m,america,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.7705517618932043,3.0719537821354175,15.967441805587814,21.58403200197338,-0.3014020202422132,-0.34172679336673983,-0.26364558152730005,-5.616590196385566,-6.361365768319464,-4.892498562180441,0.0,ok
plot5,500m,america,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.286688664966024,2.286688664966024,9.842292533411253,9.842292533411253,0.0,-0.047625470141590874,0.04453346990858895,0.0,-0.4684006164825003,0.44103545430050356,0.976,ok
plot5,500m,america,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.6497813661970544,2.78257916867358,14.150944432341833,16.16064828078599,-0.13279780247652573,-0.17445597234624455,-0.0949945880155409,-2.009703848444156,-2.6405542242763547,-1.4426674918621651,0.0,ok
plot5,500m,america,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,2.74222639569224,2.7735273427299747,15.521503664981896,16.015024978116163,-0.03130094703773478,-0.06648100487151881,0.0031840073259112203,-0.4935213131342664,-1.0540102065554007,0.04929199737391761,0.081,ok
plot5,500m,asia,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.7398780866011583,2.9940563558423254,15.485097140434927,19.966509717084524,-0.25417826924116715,-0.29541943955168015,-0.2137145051924723,-4.481412576649596,-5.2320043411889126,-3.758652448058321,0.0,ok
plot5,500m,asia,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.78257916867358,2.6497813661970544,16.16064828078599,14.150944432341833,0.13279780247652573,0.09371056825566995,0.1741207200657545,2.009703848444156,1.4212181235668875,2.635019161989679,0.0,ok
plot5,500m,asia,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.140513389287495,2.140513389287495,8.503802269398502,8.503802269398502,0.0,-0.05179767228721537,0.05108063810191255,0.0,-0.4431591593289837,0.43561212894467294,0.995,ok
plot5,500m,asia,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,2.902030525482429,2.805072059538465,18.211085926415954,16.52826688243471,0.09695846594396418,0.05583043554295218,0.13743625820036467,1.6828190439812438,0.9685455267017943,2.388518573209603,0.0,ok
plot5,500m,europe,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.822554327814998,3.0814224837472852,16.819759026130885,21.78937539404286,-0.2588681559322872,-0.30192164659162657,-0.21563582368823686,-4.969616367911975,-5.832534728627179,-4.13139170744097,0.0,ok
plot5,500m,europe,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.7735273427299747,2.74222639569224,16.015024978116163,15.521503664981896,0.03130094703773478,-0.004399204592298395,0.06620350549593894,0.4935213131342664,-0.06960219856961188,1.0474855029613646,0.084,ok
plot5,500m,europe,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.805072059538465,2.902030525482429,16.52826688243471,18.211085926415954,-0.09695846594396418,-0.13610125118200259,-0.057902606551023,-1.6828190439812438,-2.360696698486549,-1.0108736577377342,0.0,ok
plot5,500m,europe,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,2.2641425093003558,2.2641425093003558,9.622869541162105,9.622869541162105,0.0,-0.05150427291609585,0.05223770616285972,0.0,-0.4973062967574977,0.4978169012653639,0.951,ok
plot5,1b,africa,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,1000,2.2042889392102962,2.2042889392102962,9.063804360063738,9.063804360063738,0.0,-0.06359938238289249,0.06381047114820779,0.0,-0.5747020676629809,0.5786865636031608,0.999,ok
plot5,1b,africa,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,1000,3.0983453028472145,2.598746965010504,22.161250767150715,13.44687806542631,0.49959833783671037,0.4591149533824332,0.5432635953191594,8.714372701724406,7.9938592422622285,9.512887299513746,0.0,ok
plot5,1b,africa,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,1000,3.0050542637107274,2.6205932539189867,20.18731150469853,13.74387477454837,0.3844610097917407,0.3407168238201668,0.42951056317518377,6.443436730150161,5.681329378144229,7.294078073600465,0.0,ok
plot5,1b,africa,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,3.114507948190036,2.722221661303905,22.52234546569771,15.214085270582858,0.39228628688613076,0.34879694643198794,0.436685536645592,7.308260195114853,6.4445815040925005,8.1980844530907,0.0,ok
plot5,1b,america,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,1000,2.598746965010504,3.0983453028472145,13.44687806542631,22.161250767150715,-0.49959833783671037,-0.5380390826711107,-0.45828076870245044,-8.714372701724406,-9.408474858728557,-7.949225093332174,0.0,ok
plot5,1b,america,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,1000,2.1203573486362646,2.1203573486362646,8.334115140305814,8.334115140305814,0.0,-0.047079123695682956,0.046080536761478594,0.0,-0.39266153154563094,0.3826946194229719,0.988,ok
plot5,1b,america,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,1000,2.4721107502312494,2.6694664646313506,11.847427438687747,14.432267013391588,-0.19735571440010125,-0.23451230459180233,-0.15729197832822459,-2.5848395747038406,-3.0640714234122757,-2.056363834835758,0.0,ok
plot5,1b,america,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,2.5715935078261634,2.685643805536753,13.086661532061111,14.667641449928652,-0.11405029771058972,-0.15127661483272778,-0.08009405180071272,-1.5809799178675412,-2.0985901897848644,-1.1010477623674468,0.0,ok
plot5,1b,asia,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,1000,2.6205932539189867,3.0050542637107274,13.74387477454837,20.18731150469853,-0.3844610097917407,-0.4276442873210138,-0.340025207289389,-6.443436730150161,-7.195726181424358,-5.677749696977727,0.0,ok
plot5,1b,asia,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,1000,2.6694664646313506,2.4721107502312494,14.432267013391588,11.847427438687747,0.19735571440010125,0.15779731177344283,0.23565937788880043,2.5848395747038406,2.0632553256123876,3.101304852058864,0.0,ok
plot5,1b,asia,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,1000,2.0195021744682427,2.0195021744682427,7.534573097000788,7.534573097000788,0.0,-0.05070601517063689,0.05417322992476353,0.0,-0.38033529074960976,0.40862567359473895,0.979,ok
plot5,1b,asia,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,2.7958828300774017,2.713337629247905,16.37708055226869,15.079521468947606,0.08254520082949668,0.04171274189422519,0.12428901751026802,1.2975590833210848,0.6573712078429805,1.9475683747582242,0.0,ok
plot5,1b,europe,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,1000,2.722221661303905,3.114507948190036,15.214085270582858,22.52234546569771,-0.39228628688613076,-0.4386262643544947,-0.35017303976407804,-7.308260195114853,-8.236611782515462,-6.458881736356325,0.0,ok
plot5,1b,europe,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,1000,2.685643805536753,2.5715935078261634,14.667641449928652,13.086661532061111,0.11405029771058972,0.07798847610298558,0.15045408909138272,1.5809799178675412,1.0757682788708731,2.094180387730395,0.0,ok
plot5,1b,europe,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,1000,2.713337629247905,2.7958828300774017,15.079521468947606,16.37708055226869,-0.08254520082949668,-0.12506126539570747,-0.04208819840250816,-1.2975590833210848,-1.976379279538815,-0.656451938671321,0.0,ok
plot5,1b,europe,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,2.1453402613707406,2.1453402613707406,8.54494825849988,8.54494825849988,0.0,-0.0544118863578059,0.05498836169507879,0.0,-0.4611734265904885,0.46930332103834954,0.955,ok
